@relation 'Find in DB'

@attribute 'Validation data for Find in DB' numeric

@data
-1
-1
-1
3
-1
3
-1
3
-1
-1
-1
-1
-1
-1
-1
3
-1
3
3
-1
-1
3
3
3
-1
-1
3
-1
-1
-1
