@RELATION politeness

@ATTRIBUTE polite numeric

@DATA
-4
1
2
9
0
0
1
-1
5
2
2
-8
19
2
5
11
-12
4
6
8
3
-2
-7
2
-1
0
0
5
-3
2
1
-8
3
2
15
0
1
3
6
-2
0
-7
2
-4
1
2
3
0
3
-4
-15
9
3
5
-2
1
-4
2
5
-10
-2
9
3
-2
4
7
8
-9
3
1
0
1
1
-3
1
3
%
%
%


